year,date,home_team,away_team,home_team_goals,away_team_goals,goal_difference,winning_team,venue,attendance,referee,notes,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,officials,round,score,host,home_goal,away_goal,home_goal_long,away_goal_long,home_own_goal,away_own_goal,home_penalty_goal,away_penalty_goal,home_penalty_miss_long,away_penalty_miss_long,home_penalty_shootout_goal_long,away_penalty_shootout_goal_long,home_penalty_shootout_miss_long,away_penalty_shootout_miss_long,home_red_card,away_red_card,home_yellow_red_card,away_yellow_red_card,home_yellow_card_long,away_yellow_card_long,home_substitute_in_long,away_substitute_in_long
1990,11-06-1990,England,Republic Of Ireland,1,1,0,Draw,"Sant Elia, Cagliari",35238,Aron Schmidhuber,Unknown,1,0.0,0.0,1,0.0,0.0,Bobby Robson,Bryan Robson,Jack Charlton,Mick Mccarthy,Aron Schmidhuber (Referee) · Erik Fredriksson (Ar1) · Kurt Roethlisberger (Ar2),Group Stage,1–1,Italy,Gary Lineker · 9,Kevin Sheedy · 73,['9&Rsquor;|1:0|Gary Lineker'],['73&Rsquor;|1:1|Kevin Sheedy'],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['75&Rsquor;|1:1|Steve Mcmahon'],Unknown,"['69&Rsquor;|1:0|Steve Mcmahon|For Peter Beardsley', '83&Rsquor;|1:1|Steve Bull|For Gary Lineker']",['64&Rsquor;|1:0|Alan Mcloughlin|For John Aldridge']
1990,21-06-1990,England,Egypt,1,0,1,England,"Sant Elia, Cagliari",34959,Kurt Roethlisberger,Unknown,1,0.0,0.0,0,0.0,0.0,Bobby Robson,Peter Shilton,Mahmoud El Gohary,Gamal Abdel-Hameed,Kurt Roethlisberger (Referee) · Berny Ulloa Morera (Ar1) · Edgardo Codesal Mendez (Ar2),Group Stage,1–0,Italy,Mark Wright · 58,Unknown,['58&Rsquor;|1:0|Mark Wright'],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['88&Rsquor;|1:0|Peter Beardsley'],"['36&Rsquor;|0:0|Magdi Abdelghani', '48&Rsquor;|0:0|Ibrahim Hassan']","['84&Rsquor;|1:0|Peter Beardsley|For Steve Bull', '87&Rsquor;|1:0|David Platt|For Chris Waddle']","['77&Rsquor;|1:0|Tarek Soliman|For Ahmed El-Kass', '77&Rsquor;|1:0|Adel Abdelrahman|For Gamal Abdel-Hameed']"
1990,21-06-1990,Republic Of Ireland,Netherlands,1,1,0,Draw,"Della Favorita, Palermo",33288,Michel Vautrot,Unknown,1,0.0,0.0,1,0.0,0.0,Jack Charlton,Mick Mccarthy,Leo Beenhakker,Ruud Gullit,Michel Vautrot (Referee) · Richard Lorenc (Ar1) · Mohamed Hansal (Ar2),Group Stage,1–1,Italy,Niall Quinn · 71,Ruud Gullit · 11,['71&Rsquor;|1:1|Niall Quinn'],['11&Rsquor;|0:1|Ruud Gullit'],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['43&Rsquor;|0:1|Frank Rijkaard'],"['62&Rsquor;|0:1|Ronnie Whelan|For Kevin Sheedy', '62&Rsquor;|0:1|Tony Cascarino|For John Aldridge']","['58&Rsquor;|0:1|Henk Fräser|For Richard Witschge', '78&Rsquor;|1:1|John Van Loen|For Wim Kieft']"
1990,17-06-1990,Belgium,Uruguay,3,1,2,Belgium,"Marc Antonio Bentegodi, Verona",33759,Siegfried Kirschen,Unknown,3,0.0,0.0,1,0.0,0.0,Guy Thys,Jan Ceulemans,Oscar Tabarez,Enzo Francescoli,Siegfried Kirschen (Referee) · Peter Mikkelsen (Ar1) · Alexey Spirin (Ar2),Group Stage,3–1,Italy,Lei Clijsters · 15|Enzo Scifo · 24|Jan Ceulemans · 47,Pablo Bengoechea · 73,"['15&Rsquor;|1:0|Lei Clijsters', '24&Rsquor;|2:0|Enzo Scifo', '47&Rsquor;|3:0|Jan Ceulemans']",['73&Rsquor;|3:1|Pablo Bengoechea'],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Eric Gerets · 42,Unknown,['35&Rsquor;|2:0|Eric Gerets'],['40&Rsquor;|2:0|Rubén Sosa'],"['46&Rsquor;|2:0|Marc Emmers|For Lei Clijsters', '73&Rsquor;|3:1|Patrick Vervoort|For Bruno Versavel']","['46&Rsquor;|2:0|Carlos Aguilera|For Antonio Alzamendi', '56&Rsquor;|3:0|Pablo Bengoechea|For Santiago Ostolaza']"
1990,17-06-1990,Republic Of Ireland,Egypt,0,0,0,Draw,"Della Favorita, Palermo",33288,Marcel Van Langenhove,Unknown,0,0.0,0.0,0,0.0,0.0,Jack Charlton,Mick Mccarthy,Mahmoud El Gohary,Rabie Yassin,Marcel Van Langenhove (Referee) · Joel Quiniou (Ar1) · Rosario Lo Bello (Ar2),Group Stage,0–0,Italy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['51&Rsquor;|0:0|Chris Morris'],['72&Rsquor;|0:0|Ahmed Shobair'],"['64&Rsquor;|0:0|Alan Mcloughlin|For John Aldridge', '84&Rsquor;|0:0|Niall Quinn']","['60&Rsquor;|0:0|Taher Abouzeid|For Magdy Tolba', '76&Rsquor;|0:0|Gamal Abdel-Hameed|For Ahmed El-Kass']"
1990,07-07-1990,Italy,England,2,1,1,Italy,"Stadio San Nicola, Bari",51426,Joel Quiniou,Unknown,2,0.0,0.0,1,0.0,0.0,Azeglio Vicini,Giuseppe Bergomi,Bobby Robson,Peter Shilton,Joel Quiniou (Referee) · Mohamed Hansal (Ar1) · Kurt Roethlisberger (Ar2),Third-Place Match,2–1,Italy,Roberto Baggio · 71,David Platt · 81,['71&Rsquor;|1:0|Roberto Baggio'],['81&Rsquor;|1:1|David Platt'],Unknown,Unknown,Salvatore Schillaci (P) · 86,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"['67&Rsquor;|0:0|Nicola Berti|For Luigi De Agostini', '90&Rsquor;|2:1|Riccardo Ferri|For Giuseppe Giannini']","['72&Rsquor;|1:0|Neil Webb|For Steve Mcmahon', '72&Rsquor;|1:0|Chris Waddle|For Mark Wright']"
1990,08-07-1990,West Germany,Argentina,1,0,1,West Germany,"Stadio Olimpico, Rome",73603,Edgardo Codesal Mendez,Unknown,1,0.0,0.0,0,0.0,0.0,Franz Beckenbauer,Lothar Matthäus,Carlos Bilardo,Diego Maradona,Edgardo Codesal Mendez (Referee) · Armando Perez Hoyos (Ar1) · Michal Listkiewicz (Ar2),Final,1–0,Italy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Andreas Brehme (P) · 85,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Pedro Monzón · 65|Gustavo Dezotti · 87,Unknown,Unknown,['52&Rsquor;|0:0|Rudi Völler'],"['5&Rsquor;|0:0|Gustavo Dezotti', '84&Rsquor;|0:0|Pedro Troglio', '87&Rsquor;|1:0|Diego Maradona']",['73&Rsquor;|0:0|Stefan Reuter|For Thomas Berthold'],"['46&Rsquor;|0:0|Pedro Monzón|For Oscar Ruggeri', '53&Rsquor;|0:0|Gabriel Calderón|For Jorge Burruchaga']"
1990,04-07-1990,West Germany,England,4,1,3,West Germany,"Stadio Delle Alpi, Turin",62628,Jose Ramiz Wright,West Germany Won On Penalty Kicks Following Extra Time,1,0.0,4.0,1,0.0,3.0,Franz Beckenbauer,Lothar Matthäus,Bobby Robson,Terry Butcher,Jose Ramiz Wright (Referee) · Joel Quiniou (Ar1) · Armando Perez Hoyos (Ar2),Semi-Finals,(4) 1–1 (3),Italy,Andreas Brehme · 60,Gary Lineker · 80,['60&Rsquor;|1:0|Andreas Brehme'],['80&Rsquor;|1:1|Gary Lineker'],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"['2|1:1|Andreas Brehme', '4|2:2|Lothar Matthäus', '6|3:3|Karl-Heinz Riedle', '8|4:3|Olaf Thon']","['1|0:1|Gary Lineker', '3|1:2|Peter Beardsley', '5|2:3|David Platt']",Unknown,"['7|3:3|Stuart Pearce', '9|4:3|Chris Waddle']",Unknown,Unknown,Unknown,Unknown,['110&Rsquor;|1:1|Andreas Brehme'],"['65&Rsquor;|1:0|Paul Parker', '98&Rsquor;|1:1|Paul Gascoigne']","['38&Rsquor;|0:0|Karl-Heinz Riedle|For Rudi Völler', '67&Rsquor;|1:0|Stefan Reuter|For Thomas Häßler']",['70&Rsquor;|1:0|Trevor Steven|For Terry Butcher']
1990,03-07-1990,Italy,Argentina,3,1,2,Italy,"San Paolo, Naples",59978,Michel Vautrot,Argentina Won On Penalty Kicks Following Extra Time,1,0.0,3.0,1,0.0,4.0,Azeglio Vicini,Giuseppe Bergomi,Carlos Bilardo,Diego Maradona,Michel Vautrot (Referee) · Michal Listkiewicz (Ar1) · Peter Mikkelsen (Ar2),Semi-Finals,(3) 1–1 (4),Italy,Salvatore Schillaci · 17,Claudio Caniggia · 67,['17&Rsquor;|1:0|Salvatore Schillaci'],['67&Rsquor;|1:1|Claudio Caniggia'],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"['1|1:0|Franco Baresi', '3|2:1|Roberto Baggio', '5|3:2|Luigi De Agostini']","['2|1:1|José Serrizuela', '4|2:2|Jorge Burruchaga', '6|3:3|Julio Olarticoechea', '8|3:4|Diego Maradona']","['7|3:3|Roberto Donadoni', '9|3:4|Aldo Serena']",Unknown,Unknown,Unknown,Unknown,Ricardo Giusti · 103,['22&Rsquor;|1:0|Giuseppe Giannini'],"['30&Rsquor;|1:0|Ricardo Giusti', '70&Rsquor;|1:1|Oscar Ruggeri', '76&Rsquor;|1:1|Julio Olarticoechea', '82&Rsquor;|1:1|Claudio Caniggia', '120&Rsquor;|1:1|Sergio Batista']","['70&Rsquor;|1:1|Aldo Serena|For Gianluca Vialli', '73&Rsquor;|1:1|Roberto Baggio|For Giuseppe Giannini']","['46&Rsquor;|1:0|Pedro Troglio|For Gabriel Calderón', '99&Rsquor;|1:1|Sergio Batista|For José Basualdo']"
1990,01-07-1990,England,Cameroon,3,2,1,England,"San Paolo, Naples",55205,Edgardo Codesal Mendez,Required Extra Time,3,0.0,0.0,2,0.0,0.0,Bobby Robson,Terry Butcher,Valeri Nepomnyashchi,Stephen Tataw,Edgardo Codesal Mendez (Referee) · Vincent Mauro (Ar1) · Jassim Mandi (Ar2),Quarter-Finals,3–2,Italy,David Platt · 25,Eugène Ekéké · 65,['25&Rsquor;|1:0|David Platt'],['65&Rsquor;|1:2|Eugène Ekéké'],Unknown,Unknown,Gary Lineker (P) · 83|Gary Lineker (P) · 105,Emmanuel Kundé (P) · 61,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['70&Rsquor;|1:2|Stuart Pearce'],"['28&Rsquor;|1:0|Benjamin Massing', ""105&Rsquor;|3:2|Thomas N'Kono"", '119&Rsquor;|3:2|Roger Milla']","['46&Rsquor;|1:0|Peter Beardsley|For John Barnes', '74&Rsquor;|1:2|Trevor Steven|For Terry Butcher']","['46&Rsquor;|1:0|Roger Milla|For Emmanuel Maboang', ""62&Rsquor;|1:1|Eugène Ekéké|For Louis-Paul M'Fédé""]"
